Round No.;impact angle;Vi (m/s);Vr (m/s);Vr/Vi;Azi/E;Elev/E;Azi/R;Elev/R;Beta
249;5;340;191;0.56;5.25;15.24;5.15;10.26;16.10
250;5;331;232;0.70;1.82;11.01;1.80;6.01;11.16
251;5;335;229;0.68;3.27;12.78;3.22;7.79;13.18
252;5;336;216;0.64;3.27;13.62;3.21;8.36;14.00
253;5;336;230;0.68;2.91;11.49;2.87;6.50;11.85
254;5;333;227;0.68;3.08;10.39;3.04;5.40;10.83
255;5;335;239;0.71;2.91;11.46;2.87;6.47;11.82
256;5;331;188;0.57;3.08;14.55;3.02;9.56;14.87
257;5;338;230;0.68;1.82;11.67;1.79;6.67;11.81
258;5;336;184;0.55;5.44;15.80;5.33;10.82;16.69
259;5;335;209;0.62;2.73;12.52;2.69;7.53;12.81
260;5;333;211;0.63;2.55;12.74;2.51;7.74;12.99
261;5;336;239;0.71;2.55;10.80;2.52;5.80;11.09
262;5;331;230;0.69;1.63;11.10;1.61;6.10;11.22
263;5;331;239;0.72;1.46;9.09;1.45;4.09;9.21
264;5;333;177;0.53;4.18;13.61;4.11;8.62;14.23
265;5;333;225;0.68;2.18;12.11;2.15;7.11;12.30
266;5;331;218;0.66;3.81;13.54;3.75;8.55;14.06
267;5;331;223;0.67;3.10;10.74;3.06;5.75;11.17
268;5;340;230;0.68;2.01;11.07;1.98;6.07;11.25
269;5;331;239;0.72;2.18;9.94;2.16;4.94;10.17
270;5;331;230;0.69;1.82;10.87;1.80;5.87;11.02
271;5;333;211;0.63;2.55;12.08;2.51;7.08;12.34
272;5;331;184;0.56;3.63;12.89;3.57;7.90;13.38
273;5;333;264;0.79;0.73;8.79;0.72;3.79;8.82
274;5;331;222;0.67;4.17;10.26;4.12;5.27;11.07
275;5;333;218;0.65;3.08;14.22;3.02;9.23;14.54
276;5;331;195;0.59;3.27;13.45;3.22;8.46;13.83
277;5;333;211;0.63;2.91;11.30;2.87;6.31;11.66
278;5;338;200;0.59;4.91;12.56;4.83;7.58;13.47
279;5;335;264;0.79;0.36;6.92;0.36;1.92;6.93
280;5;340;197;0.58;3.44;12.22;3.39;7.23;12.69
